23-02-26 00:05:09.820 - INFO: Iter: 1120, LR: 2.416e-04, L1: 0.0160, 
23-02-26 00:05:11.840 - INFO: Iter: 1140, LR: 2.452e-04, L1: 0.0183, 
23-02-26 00:05:15.122 - INFO: Iter: 1160, LR: 2.488e-04, L1: 0.0186, 
23-02-26 00:05:18.041 - INFO: Iter: 1180, LR: 2.524e-04, L1: 0.0165, 
23-02-26 00:05:20.055 - INFO: Iter: 1200, LR: 2.560e-04, L1: 0.0188, 
23-02-26 00:05:23.117 - INFO: Iter: 1220, LR: 2.596e-04, L1: 0.0136, 
23-02-26 00:05:25.554 - INFO: Iter: 1240, LR: 2.632e-04, L1: 0.0250, 
23-02-26 00:05:28.418 - INFO: Iter: 1260, LR: 2.668e-04, L1: 0.0132, 
23-02-26 00:05:31.047 - INFO: Iter: 1280, LR: 2.704e-04, L1: 0.0120, 
23-02-26 00:05:35.226 - INFO: Iter: 1300, LR: 2.740e-04, L1: 0.0119, 
23-02-26 00:05:38.132 - INFO: Iter: 1320, LR: 2.776e-04, L1: 0.0190, 
23-02-26 00:05:41.041 - INFO: Iter: 1340, LR: 2.812e-04, L1: 0.0139, 
23-02-26 00:05:43.814 - INFO: Iter: 1360, LR: 2.848e-04, L1: 0.0168, 
23-02-26 00:05:46.903 - INFO: Iter: 1380, LR: 2.884e-04, L1: 0.0170, 
23-02-26 00:05:49.243 - INFO: Iter: 1400, LR: 2.920e-04, L1: 0.0189, 
23-02-26 00:05:52.301 - INFO: Iter: 1420, LR: 2.956e-04, L1: 0.0095, 
23-02-26 00:05:55.560 - INFO: Iter: 1440, LR: 2.992e-04, L1: 0.0159, 
23-02-26 00:05:57.806 - INFO: Iter: 1460, LR: 3.028e-04, L1: 0.0159, 
23-02-26 00:06:01.517 - INFO: Iter: 1480, LR: 3.064e-04, L1: 0.0226, 
23-02-26 00:06:04.318 - INFO: Iter: 1500, LR: 3.100e-04, L1: 0.0188, 
23-02-26 00:06:07.571 - INFO: Iter: 1520, LR: 3.136e-04, L1: 0.0179, 
23-02-26 00:06:11.789 - INFO: Iter: 1540, LR: 3.172e-04, L1: 0.0144, 
23-02-26 00:06:15.073 - INFO: Iter: 1560, LR: 3.208e-04, L1: 0.0185, 
23-02-26 00:06:18.928 - INFO: Iter: 1580, LR: 3.244e-04, L1: 0.0163, 
23-02-26 00:06:21.018 - INFO: Iter: 1600, LR: 3.280e-04, L1: 0.0198, 
23-02-26 00:06:25.250 - INFO: Iter: 1620, LR: 3.316e-04, L1: 0.0152, 
23-02-26 00:06:27.621 - INFO: Iter: 1640, LR: 3.352e-04, L1: 0.0150, 
23-02-26 00:06:31.444 - INFO: Iter: 1660, LR: 3.388e-04, L1: 0.0183, 
23-02-26 00:06:34.249 - INFO: Iter: 1680, LR: 3.424e-04, L1: 0.0152, 
23-02-26 00:06:38.111 - INFO: Iter: 1700, LR: 3.460e-04, L1: 0.0140, 
23-02-26 00:06:42.457 - INFO: Iter: 1720, LR: 3.496e-04, L1: 0.0145, 
23-02-26 00:06:45.849 - INFO: Iter: 1740, LR: 3.532e-04, L1: 0.0158, 
23-02-26 00:06:48.595 - INFO: Iter: 1760, LR: 3.568e-04, L1: 0.0150, 
23-02-26 00:06:51.942 - INFO: Iter: 1780, LR: 3.604e-04, L1: 0.0179, 
23-02-26 00:06:55.573 - INFO: Iter: 1800, LR: 3.640e-04, L1: 0.0173, 
23-02-26 00:06:59.323 - INFO: Iter: 1820, LR: 3.676e-04, L1: 0.0204, 
23-02-26 00:07:02.659 - INFO: Iter: 1840, LR: 3.712e-04, L1: 0.0152, 
23-02-26 00:07:06.045 - INFO: Iter: 1860, LR: 3.748e-04, L1: 0.0182, 
23-02-26 00:07:09.659 - INFO: Iter: 1880, LR: 3.784e-04, L1: 0.0166, 
23-02-26 00:07:12.562 - INFO: Iter: 1900, LR: 3.820e-04, L1: 0.0130, 
